price,predicted_price_lm,predicted_price_gbdt
564,747.1494664550243,799.0492428613333
5914,6644.569396517169,6635.491541132044
2562,2096.573114360575,2138.58413329475
537,727.0313660372557,694.1077100327548
5964,7180.988673800389,7425.353560284014
984,1527.18614230966,1686.5968087311578
5247,5917.255668871956,6300.786556906341
611,1004.4940334764169,965.032182320301
9645,10533.969082797641,11288.991838653055
1162,844.2541425529821,839.0068007260462
710,649.9881625059957,701.6901978080472
1574,1366.4368000161717,1570.9352675637256
1662,2410.9331745307304,2226.2026373645654
787,697.923128896987,740.4745835199385
487,625.5271998516337,582.4633647530951
1711,2011.6733112637612,2064.084031392289
4312,4014.8457206689604,4272.1715126719455
1775,1540.8435504450047,1703.9786175464253
16446,15551.319759832835,15437.491431418293
9645,5091.590777205505,5938.200270959157
5483,5665.230647405226,5488.999297895315
2854,3358.2869360165664,3241.5908161469647
5250,6997.624807512433,7223.261117051828
3916,4161.541108178436,3902.067092429639
1596,1683.6189248599,1724.3401811918432
3569,3846.880591089344,4016.372364583311
3752,3777.675588572239,3888.9636043527075
1393,1207.920157053291,1172.113189078041
5405,5576.606841472151,6147.5683592952855
421,609.4541684442773,642.6976639492788
507,719.1059069805406,695.9852958254263
6279,7792.194405734901,7560.7181824589
18524,14920.448916145697,14965.040188127412
1359,987.2806064961551,996.7702341686451
5302,3903.816720303264,4024.554107004624
5252,4425.865509666133,4302.605760808621
5049,5018.044340990213,5891.739393823813
6843,4961.283255179056,5695.206766205232
6377,4784.748133554531,5305.0593408462055
984,1090.6768690827284,1062.3760472859367
5885,5924.429022589387,5798.333108453355
6290,4678.531398732041,5383.71600092463
552,616.1433693025264,612.5721767624744
554,459.785602987768,575.9344182998951
704,988.7909255405939,958.8636092824148
8956,4360.745376748409,5161.6611107156705
1590,1795.7915535981067,1842.8726383021785
6168,6350.752540255243,6868.2658102592495
739,1055.691242609042,933.2442583907871
5788,7613.071963878855,7301.927865040339
680,679.3754490057973,756.3482599898092
721,948.1633793829769,900.4607040121457
3438,3959.3800288210646,3906.3939547603204
464,693.7124190565319,769.745750942172
2721,3549.3082351429894,3194.723220863987
5029,5186.231792831339,6087.796169402682
7418,7308.440792862622,7425.353560284014
434,752.0603109212051,728.936197786899
3604,3612.908726350468,3395.19223072193
756,917.5672694402355,878.3883676647195
960,1303.421079960891,1318.204442212503
749,790.287194187868,805.1557916998349
4700,5448.532603313823,5864.418775652246
4705,6563.229091986694,6056.428398086365
2954,2538.3671860141417,2645.2984350838956
3881,3617.888023991799,3672.4833626161267
606,780.1804255666168,784.645684200838
942,681.9359943512309,756.3482599898092
1220,1423.2082367972582,1547.1290937819363
2209,2432.9012306822,2553.2112088445265
720,741.2709468730596,747.1235371060164
3567,2620.9495490448585,2721.0601524703206
5221,4816.119501330186,5659.847005539214
2415,2373.727026746187,2418.4945803402907
920,956.5532420648652,872.1168579695642
9354,7429.211169472468,6900.111513081246
969,1011.8594304143966,996.2754420229962
6976,9390.831245871374,10060.459333146677
1094,1441.8420591158495,1585.2753706377694
8499,10168.62646519373,10943.052917646106
2131,2329.064246396094,2460.7119486657743
1627,1336.043241108307,1408.0642832278627
891,732.6067055376946,782.9891034590469
6073,4809.816485029006,5650.567888318985
1363,1440.053590338597,1544.8349797212254
4770,3655.3659782871237,3701.182030064759
2300,3357.2236975630744,3248.6301294042155
1367,1020.0207124645544,979.8819352223352
2844,3129.9355615915993,2971.044682199769
1076,1035.9939653492816,1062.3760472859367
2143,3570.244420240301,3378.3915508234923
4373,3802.5637354834894,3526.4964096650297
588,558.9953375789019,534.8134571307882
4537,6087.172491683227,6246.008516411591
447,737.7844049889345,698.4285888974711
682,574.1174068885922,639.7549899593666
3262,4120.505072084979,4253.330393934415
1656,1421.481170138589,1610.160277414145
7574,5078.8313719724765,5891.739393823813
8329,5975.019311404454,6095.225429720036
7533,5439.599731708433,6246.008516411591
1046,639.2362553779798,673.1829579784606
2348,2385.3790756406383,2522.0624535990955
2673,2460.2232104385366,2508.7080657732104
863,1025.9767019597768,1042.2281720738627
573,647.0903033458992,706.9103917844205
858,1039.0277298558533,926.4389611800376
8813,5373.611187828654,5850.625248703537
5006,4970.203059859621,5768.511958748945
2883,2752.707467706625,2896.409693485871
462,657.2182640060751,706.9103917844205
1909,1508.9176908267755,1646.387543616561
3082,3661.5094302286507,3356.3697286495676
1273,1406.6704481607158,1476.9523696566769
870,1053.3687914096565,1051.7995356814188
11969,12333.659299077348,12258.358185203142
1940,1429.0283529482153,1585.2753706377694
4706,4316.781580257259,4449.305818957485
2344,4897.221969608185,4902.50029668281
7885,4761.310488832762,5508.523971468241
3601,3299.65044420399,3148.8929843875417
