customer_id,date,shop_id,total_price
0.0,2018-05-04,40,289.67329075496315
0.0,2019-01-26,40,1316.8989007678824
0.0,2018-11-18,42,159.41436739210465
0.0,2018-05-12,42,808.7916489661038
0.0,2019-04-20,42,1207.8550380178006
0.0,2018-11-24,42,1057.7520236591008
0.0,2018-07-28,15,896.8956940548625
0.0,2019-06-01,40,341.9223364635466
0.0,2019-03-13,42,69.24063148422185
0.0,2018-12-22,40,936.0120948577403
0.0,2018-06-24,40,1005.693540316386
0.0,2019-01-12,15,485.7002950830472
0.0,2018-11-04,15,434.1914102358807
0.0,2018-06-08,42,351.1658849976919
0.0,2019-03-16,15,1131.0413280781831
0.0,2018-06-20,15,181.44135934920882
0.0,2018-09-23,15,1227.6209406025446
0.0,2018-08-26,40,901.9356859968134
2.0,2019-03-09,52,580.3483614821762
2.0,2018-07-18,52,4.041483107788932
2.0,2019-03-30,41,819.0888460970756
2.0,2018-06-16,51,661.0869278707931
2.0,2018-09-08,52,328.4162664048989
2.0,2018-12-05,51,233.83350360084458
2.0,2018-07-11,52,186.96971123911587
2.0,2018-12-29,51,546.7109088564276
2.0,2019-02-16,41,566.76663529184
2.0,2018-10-17,51,256.34414119785794
2.0,2018-12-27,41,261.7184062787456
2.0,2018-08-18,52,616.5496488322453
2.0,2018-06-02,51,271.4099889211349
2.0,2018-09-21,41,102.0324856350769
2.0,2018-12-12,52,440.5634153737855
2.0,2018-10-26,41,270.17715339877435
2.0,2018-07-25,52,291.18539293846027
2.0,2018-06-13,52,138.27121241580028
2.0,2018-08-04,51,374.72091657958885
2.0,2018-11-18,51,422.7180892127728
2.0,2019-04-27,41,719.6205644159171
2.0,2018-12-20,52,391.0157728758891
2.0,2018-06-01,51,91.60942617922146
2.0,2019-01-18,41,166.85163566231213
2.0,2018-05-05,51,484.56292936632065
2.0,2018-05-23,41,277.08380712442585
2.0,2019-01-24,52,69.3479948861694
2.0,2018-07-19,41,214.1687948945753
2.0,2018-11-03,51,456.99636542618526
2.0,2018-09-22,51,651.5729211929731
2.0,2019-05-25,52,665.6777590269236
2.0,2019-01-26,52,607.7168292230072
3.0,2018-08-25,70,354.2646140821652
3.0,2018-11-24,37,261.9711960875843
3.0,2019-05-08,70,178.55048276038747
3.0,2019-05-14,16,88.62732555613331
3.0,2018-12-02,70,350.45506116936576
3.0,2018-06-21,37,334.39341781056555
3.0,2019-03-16,70,516.5072498353991
3.0,2018-12-29,37,477.2894121942619
3.0,2019-05-25,37,249.7518698995791
3.0,2018-09-08,16,878.7586451187934
3.0,2019-01-30,70,315.0373186448982
3.0,2018-05-16,70,355.7088209945505
3.0,2018-05-10,16,140.72155995298652
3.0,2019-01-23,16,210.07055672188088
3.0,2019-05-17,16,256.4400885816506
3.0,2018-10-07,16,169.2266068160718
3.0,2018-08-24,37,73.20992099515908
3.0,2018-08-05,70,524.6428561111856
3.0,2018-05-03,16,192.78547153424879
3.0,2018-10-13,16,588.4489906060049
3.0,2019-03-02,16,408.62861516790304
